id,name,description,itemized_description
253,Warrior's Fighting Spirit,Rare chance of increasing ATK by 50%,"*Basic effect(s)*
- Rare chance of ATK 50%{passiveImg:up_g}"
254,Instant Power Up,ATK +70% when HP is 50% or more,"*When HP is 50% or more*
- ATK 70%{passiveImg:up_g}"
255,Absorption,Recovers 25% of damage dealt as HP,"*Basic effect(s)*
- Recovers 25% of damage dealt as HP"
256,Focus,ATK +25% when Ki is 5 or more,"*When attacking with 5 or more Ki*
- ATK 25%{passiveImg:up_g}"
257,Charm,AGL Type enemies' ATK -25%,"*Basic effect(s)*
- AGL Type enemies' ATK 25%{passiveImg:down_y}"
258,Primed for Battle,ATK & DEF +20% at start of turn,"*Basic effect(s)*
- ATK & DEF 20%{passiveImg:up_g}"
259,Perfect Guard,"Damage received -30% 
when guard is activated","*After guard is activated*
- Damage reduction rate 30%{passiveImg:up_g}"
260,Deterrent,STR Type enemy's ATK - 20%,"*Basic effect(s)*
- STR Type enemies' ATK 20%{passiveImg:down_y}"
261,Seasoned Battle Skills,TEQ and INT Types Ki +1,"*Basic effect(s)*
- TEQ & INT Type allies' Ki +1"
262,Transmigration,"ATK and DEF +25% when HP is 80% or 
below","*When HP is 80% or less*
- ATK & DEF 25%{passiveImg:up_g}"
263,God of Martial Arts,ATK +1800 at start of turn,"*Basic effect(s)*
- ATK 1800{passiveImg:up_g}"
264,Immaculate Innocence,"May stun the attacked enemy within the 
same turn","*Basic effect(s)*
- Medium chance of stunning the attacked enemy"
265,Master's Teachings,All allies' Ki +2 when HP is 50% or more,"*When HP is 50% or more*
- All allies' Ki +2"
266,Deep Affection,Recover 2500 HP at start of turn,"*Basic effect(s)*
- Recovers 2500 HP at the start of turn"
267,Awakening of a Super Warrior,"ATK +15% for all allies 
when HP is 50% or more","*When HP is 50% or more*
- All allies' ATK 15%{passiveImg:up_g}"
268,Limitless Strength,"ATK & DEF +60% 
when performing a Super Attack","*When attacking with 12 or more Ki*
- ATK & DEF 60%{passiveImg:up_g}"
269,Relentless Pursuit,ATK & DEF +1000 at start of turn,"*Basic effect(s)*
- ATK & DEF 1000{passiveImg:up_g}"
270,Ultimate Transformation,ATK & DEF +1500 at start of turn,"*Basic effect(s)*
- ATK & DEF 1500{passiveImg:up_g}"
271,Loyal to Cooler,AGL & TEQ Ki +1,"*Basic effect(s)*
- AGL & TEQ Type allies' Ki +1"
272,Unrivalled Fighting Skills,TEQ and PHY Ki +1,"*Basic effect(s)*
- TEQ & PHY Type allies' Ki +1"
273,Flexible Form,AGL and PHY Ki +1,"*Basic effect(s)*
- AGL & PHY Type allies' Ki +1"
274,Persistent for Perfection,ATK +40% at start of turn,"*Basic effect(s)*
- ATK 40%{passiveImg:up_g}"
275,Power to Protect,ATK +1800 when HP is 50% or more,"*When HP is 50% or more*
- ATK 1800{passiveImg:up_g}"
276,Fighting Instinct,"ATK +70% when performing a Super 
Attack","*When attacking with 12 or more Ki*
- ATK 70%{passiveImg:up_g}"
277,Evidence of Faith,ATK +30% when Ki is 5 or more,"*When attacking with 5 or more Ki*
- ATK 30%{passiveImg:up_g}"
278,Able Reinforcements,AGL & INT Type enemies' ATK -25%,"*Basic effect(s)*
- AGL & INT Type enemies' ATK 25%{passiveImg:down_y}"
279,Warrior and Scholar,ATK +25% when Ki is 5 or more,"*When attacking with 5 or more Ki*
- ATK 25%{passiveImg:up_g}"
280,Captured Wisdom,Recovers 25% of damage dealt as HP,"*Basic effect(s)*
- Recovers 25% of damage dealt as HP"
281,Fist of Justice,ATK +2500 when HP is 50% or more,"*When HP is 50% or more*
- ATK 2500{passiveImg:up_g}"
282,Power of Love,All Types ATK +1000,"*Basic effect(s)*
- All allies' ATK 1000{passiveImg:up_g}"
283,Perfected Prowess,ATK +70% when HP is 50% or above,"*When HP is 50% or more*
- ATK 70%{passiveImg:up_g}"
284,Unadulterated Evil,Recover 10% HP at start of turn​,"*Basic effect(s)*
- Recovers 10% HP at the start of turn"
285,Message from the Future,Ki +2 when HP is 50% or more,"*When HP is 50% or more*
- Ki +2"
286,Martial Mentality,"ATK & DEF +30% 
when HP is 80% or less","*When HP is 80% or less*
- ATK & DEF 30%{passiveImg:up_g}"
287,No Fear of Death,ATK and DEF +10% for all allies,"*Basic effect(s)*
- All allies' ATK & DEF 10%{passiveImg:up_g}"
288,A God's Whimsy,Has a chance of all allies' Ki +3,"*Basic effect(s)*
- Chance of all allies' Ki +3"
289,Genius Inventor,Recovers 1500 HP at start of turn,"*Basic effect(s)*
- Recovers 1500 HP at the start of turn"
290,Show of Strength,Ki +1 when HP is 80% or above,"*When HP is 80% or more*
- Ki +1"
291,Assiduous Application,Ki +2 when HP is 80% or above,"*When HP is 80% or more*
- Ki +2"
292,Saiyan God,ATK +75% when performing a Super Attack,"*When attacking with 12 or more Ki*
- ATK 75%{passiveImg:up_g}"
293,A God's Fury,High chance of ATK +150%,"*Basic effect(s)*
- High chance of ATK 150%{passiveImg:up_g}"
294,A New Adventure,ATK +25% at start of turn,"*Basic effect(s)*
- ATK 25%{passiveImg:up_g}"
295,Undefeatable Spirit,AGL & STR Types Ki +2,"*Basic effect(s)*
- AGL & STR Type allies' Ki +2"
296,Never-Ending Pursuit,"With a chance that all enemies' ATK & 
DEF - 20%","*Basic effect(s)*
- Chance of all enemies' ATK & DEF 20%{passiveImg:down_y}"
297,An Inquisitive Mind,High chance of ATK +25% for all allies,"*Basic effect(s)*
- High chance of all allies' ATK 25%{passiveImg:up_g}"
298,Divine Combat,STR & PHY Types ATK +20%,"*Basic effect(s)*
- STR & PHY Type allies' ATK 20%{passiveImg:up_g}"
299,Ample Experience,Recover 5% HP at start of turn,"*Basic effect(s)*
- Recovers 5% HP at the start of turn"
300,A Break from Farm Labor,Recover 3% HP at start of turn,"*Basic effect(s)*
- Recovers 3% HP at the start of turn"
301,God of Destruction's Companion,"High chance of stunning the attacked 
enemy","*Basic effect(s)*
- High chance of stunning the attacked enemy"
302,Incredible Craft,STR & PHY Types ATK +15%,"*Basic effect(s)*
- STR & PHY Type allies' ATK 15%{passiveImg:up_g}"
303,Sense for Battle,ATK +25% at start of turn,"*Basic effect(s)*
- ATK 25%{passiveImg:up_g}"
304,Starvin' Majin,Recover 15% of damage dealt as health,"*Basic effect(s)*
- Recovers 15% of damage dealt as HP"
305,Master Roshi's Finest Disciple,Ki +1 at start of turn,"*Basic effect(s)*
- Ki +1"
306,Power of Tree of Might's Fruit,All allies' Ki +2 when HP is 50% or more,"*When HP is 50% or more*
- All allies' Ki +2"
307,High Speed Movement,Ki +2 as the 1st attacker in a turn,"*As the 1st attacker in a turn*
- Ki +2"
308,Brash Overconfidence,ATK +20% at start of turn,"*Basic effect(s)*
- ATK 20%{passiveImg:up_g}"
309,Gigantic Warrior,ATK and DEF +10% for all allies,"*Basic effect(s)*
- All allies' ATK & DEF 10%{passiveImg:up_g}"
310,Unpredictable Attack,Disable enemy’s guard,"*When attacking*
- Disables the enemy's guard"
311,Twin Fighters,"Reduces damage received by 30% 
when guard is activated","*After guard is activated*
- Damage reduction rate 30%{passiveImg:up_g}"
312,Pressure,All enemies' ATK -10%,"*Basic effect(s)*
- All enemies' ATK 10%{passiveImg:down_y}"
313,Ki Concentration,ATK +10% per Ki Sphere obtained,"*For every Ki Sphere obtained*
- ATK 10%{passiveImg:up_g}"
314,The Wings of Light,Recover 5% HP at start of turn,"*Basic effect(s)*
- Recovers 5% HP at the start of turn"
315,Frenzied Saiyan,ATK +50% when performing a Super Attack,"*When attacking with 12 or more Ki*
- ATK 50%{passiveImg:up_g}"
316,Provocation,ATK +20% at start of turn,"*Basic effect(s)*
- ATK 20%{passiveImg:up_g}"
317,Meeting the Enemy,ATK +40% at start of turn,"*Basic effect(s)*
- ATK 40%{passiveImg:up_g}"
318,Sudden Flash,TEQ and STR Type Ki +2,"*Basic effect(s)*
- TEQ & STR Type allies' Ki +2"
319,The Power of Majin,"ATK & DEF +3000 
when HP is 80% or more","*When HP is 80% or more*
- ATK & DEF 3000{passiveImg:up_g}"
320,The Toil of Battle,TEQ and STR Type Ki +1,"*Basic effect(s)*
- TEQ & STR Type allies' Ki +1"
321,Accumulated Strength,TEQ Type ATK +15%,"*Basic effect(s)*
- TEQ Type allies' ATK 15%{passiveImg:up_g}"
322,Young Ruffian,Recovers 5% HP at start of turn,"*Basic effect(s)*
- Recovers 5% HP at the start of turn"
323,Perfect Guard,"Damage received -30% 
when guard is activated","*After guard is activated*
- Damage reduction rate 30%{passiveImg:up_g}"
324,A Good Run,"ATK +70% when there are 3 or more 
enemies","*When facing 3 or more enemies*
- ATK 70%{passiveImg:up_g}"
325,Martial Massacre,All enemies' ATK -12%,"*Basic effect(s)*
- All enemies' ATK 12%{passiveImg:down_y}"
326,Full Flowering Power,TEQ & INT Types Ki +2,"*Basic effect(s)*
- TEQ & INT Type allies' Ki +2"
327,Demon from Hell,"Ultra-rare chance to grant a deadly power 
to Super ATK","*When attacking with 12 or more Ki*
- Ultra-rare chance of granting deadly power to attack"
328,Sharp Mind,Rare chance of stunning all enemies,"*Basic effect(s)*
- Rare chance of stunning all enemies"
329,The Great Robbery,All Types ATK +1000,"*Basic effect(s)*
- All allies' ATK 1000{passiveImg:up_g}"
330,Focused on Victory,ATK and DEF +10% for all allies,"*Basic effect(s)*
- All allies' ATK & DEF 10%{passiveImg:up_g}"
331,5 Minutes of Change,Ki +5 at the first turn,"*Basic effect(s)*
- {passiveImg:once}Ki +5"
332,Standout Skills,ATK +120% for first attack only,"*Basic effect(s)*
- ATK 120%{passiveImg:up_g}"
333,Life Stealing,Recover 7% of damage dealt as HP,"*Basic effect(s)*
- Recovers 7% of damage dealt as HP"
334,Next-Level Power,"Damage received -30% when guard is 
activated","*After guard is activated*
- Damage reduction rate 30%{passiveImg:up_g}"
335,Quintuplets,Rare chance of Ki +5,"*Basic effect(s)*
- Rare chance of Ki +5"
336,Evil Beam Eyes,Rare chance of stunning all enemies,"*Basic effect(s)*
- Chance of stunning all enemies"
337,Raging Fury,AGL & TEQ Types Ki +2,"*Basic effect(s)*
- AGL & TEQ Type allies' Ki +2"
338,The Final Decision,"Ki +2 for all allies when HP is 50% or 
above","*When HP is 50% or more*
- All allies' Ki +2"
339,The Ultimate Fusion,ATK +25% for all allies,"*Basic effect(s)*
- All allies' ATK 25%{passiveImg:up_g}"
340,Dominant Power,STR & PHY Types Ki +2,"*Basic effect(s)*
- STR & PHY Type allies' Ki +2"
341,The Fruits of Training,ATK +60% when Ki is 7 or more,"*When attacking with 7 or more Ki*
- ATK 60%{passiveImg:up_g}"
342,Trap of Demon Realm,"May stun the attacked enemy within the 
same turn","*Basic effect(s)*
- Medium chance of stunning the attacked enemy"
343,For the Love of Freedom,ATK +5% for every Ki Sphere obtained,"*For every Ki Sphere obtained*
- ATK 5%{passiveImg:up_g}"
344,Inherited Taste,Rare chance of stunning all enemies,"*Basic effect(s)*
- Rare chance of stunning all enemies"
345,Pinnacle of Anger,Rare chance of ATK +150%,"*Basic effect(s)*
- Rare chance of ATK 150%{passiveImg:up_g}"
346,Rushing Rage,"DEF reduced to 0 and ATK +7000 when 
attacking","*When attacking*
- DEF 100000{passiveImg:down_r}
- ATK 7000{passiveImg:up_g}"
347,Surging Fear,"DEF reduced to 0 and ATK +5000 when 
attacking","*When attacking*
- DEF 100000{passiveImg:down_r}
- ATK 5000{passiveImg:up_g}"
348,Miraculous Strike,"Disable Rampage, Ki +2 & ATK +2000 
when HP>=80%","*Basic effect(s)*
- Disables Rampage
*When HP is 80% or more*
- Ki +2
- ATK 2000{passiveImg:up_g}"
349,Resolute Strike,"Disable Rampage, ATK +70% when 
performing a Super Attack","*Basic effect(s)*
- Disables Rampage
*When attacking with 12 or more Ki*
- ATK 70%{passiveImg:up_g}"
350,Support Strike,"Disables Rampage; changes PHY Ki 
Spheres to Rainbow Ki Spheres","*Basic effect(s)*
- Changes Ki Spheres: PHY to Rainbow
- Disables Rampage"
351,Stubborn Strike,"Disables Rampage; changes Rainbow 
Ki Spheres to AGL Ki Spheres","*Basic effect(s)*
- Changes Ki Spheres: Rainbow to AGL
- Disables Rampage"
352,Hidden Vengeance,Rare chance of stunning all enemies,"*Basic effect(s)*
- Rare chance of stunning all enemies"
353,Awakening Spirit,Ki +3 when facing 3 or more enemies,"*When facing 3 or more enemies*
- Ki +3"
354,Deep Knowledge,INT & STR Types Ki +2,"*Basic effect(s)*
- INT & STR Type allies' Ki +2"
355,Recurring Memory,ATK +20% at start of turn,"*Basic effect(s)*
- ATK 20%{passiveImg:up_g}"
356,Power of Hatred,ATK +30% at start of turn,"*Basic effect(s)*
- ATK 30%{passiveImg:up_g}"
357,Full of Hope,ATK and DEF +10% for all allies,"*Basic effect(s)*
- All allies' ATK & DEF 10%{passiveImg:up_g}"
358,Immortal Body,ATK and DEF +10% for all allies,"*Basic effect(s)*
- All allies' ATK & DEF 10%{passiveImg:up_g}"
359,Auto Regeneration,Recover 5% HP at start of turn,"*Basic effect(s)*
- Recovers 5% HP at the start of turn"
360,Teleport,All allies' Ki +1 when HP is 50% or more,"*When HP is 50% or more*
- All allies' Ki +1"
361,Lock-On,Attacked enemy’s ATK -20%,"*Basic effect(s)*
- Attacked enemy's ATK 20%{passiveImg:down_y}"
362,Scientific Fusion,Recover 15% of damage dealt as health,"*Basic effect(s)*
- Recovers 15% of damage dealt as HP"
363,Revenge Attack,ATK +25% for all allies,"*Basic effect(s)*
- All allies' ATK 25%{passiveImg:up_g}"
364,Limit-Pushing Power,"ATK & DEF +3000 
when HP is 80% or more","*When HP is 80% or more*
- ATK & DEF 3000{passiveImg:up_g}"
365,Real Possibility,Ki +2 when HP is 80% or more,"*When HP is 80% or more*
- Ki +2"
366,Mysterious Weapon,"Damage received -50% when guard is 
activated","*After guard is activated*
- Damage reduction rate 50%{passiveImg:up_g}"
367,Backup,DEF +1000 for all allies,"*Basic effect(s)*
- All allies' DEF 1000{passiveImg:up_g}"
368,Despair's Grin,"Weakens Regeneration, changes 
Rainbow Ki Spheres to INT Ki Spheres","*Basic effect(s)*
- Changes Ki Spheres: Rainbow to INT
- Weakens Regeneration"
369,Whispered Madness,"Weakens Regeneration, changes 
AGL Ki Spheres to Rainbow Ki Spheres","*Basic effect(s)*
- Changes Ki Spheres: AGL to Rainbow
- Weakens Regeneration"
370,Awakened Purpose,"Weaken Regeneration, ATK +40% at 
start of turn","*Basic effect(s)*
- ATK 40%{passiveImg:up_g}
- Weakens Regeneration"
371,Promise of Power,"Weakens Regeneration, 
AGL & PHY Types Ki +2","*Basic effect(s)*
- AGL & PHY Type allies' Ki +2
- Weakens Regeneration"
372,The World's Hope,Rare chance of Ki +5,"*Basic effect(s)*
- Rare chance of Ki +5"
373,Inciting Terror,All enemies' ATK - 8%,"*Basic effect(s)*
- All enemies' ATK 8%{passiveImg:down_y}"
374,Menacing Despair,All enemies' ATK - 12%,"*Basic effect(s)*
- All enemies' ATK 12%{passiveImg:down_y}"
375,Ultimate Battle Form,ATK & DEF +40% at start of turn,"*Basic effect(s)*
- ATK & DEF 40%{passiveImg:up_g}"
376,Pitch into Darkness,ATK & DEF +7% per Ki Sphere obtained,"*For every Ki Sphere obtained*
- ATK & DEF 7%{passiveImg:up_g}"
377,Avatar of Contempt,ATK & DEF +12% per Ki Sphere obtained,"*For every Ki Sphere obtained*
- ATK & DEF 12%{passiveImg:up_g}"
386,What Used to be Kami,ATK and DEF +10% for all allies,"*Basic effect(s)*
- All allies' ATK & DEF 10%{passiveImg:up_g}"
387,Mettle,Rare chance of stunning all enemies,"*Basic effect(s)*
- Rare chance of stunning all enemies"
388,Full of Confidence,ATK +10% per Ki Sphere obtained,"*For every Ki Sphere obtained*
- ATK 10%{passiveImg:up_g}"
389,Oolong's Approval,All Types ATK +2000,"*Basic effect(s)*
- All allies' ATK 2000{passiveImg:up_g}"
390,Billowing Smoke,"Ki +2 for all allies when HP is 50% or 
above","*When HP is 50% or more*
- All allies' Ki +2"
391,Obsessed with Power,Rare chance of increasing DEF by 100%,"*Basic effect(s)*
- Rare chance of DEF 100%{passiveImg:up_g}"
392,Running Rampant,All allies' ATK +500,"*Basic effect(s)*
- All allies' ATK 500{passiveImg:up_g}"
393,Full-On Strike,"Changes STR Ki Spheres 
to Rainbow Ki Spheres","*Basic effect(s)*
- Changes Ki Spheres: STR to Rainbow"
394,Burning Battle Cry,"Changes Rainbow Ki Spheres 
to TEQ Ki Spheres","*Basic effect(s)*
- Changes Ki Spheres: Rainbow to TEQ"
395,Overwhelming Barrage,Changes Rainbow Ki Spheres to PHY Ki Spheres,"*Basic effect(s)*
- Changes Ki Spheres: Rainbow to PHY"
396,Bubbling Malice,"Reduces damage received by 80% 
when HP is 50% or more","*When HP is 50% or more*
- Damage reduction rate 80%{passiveImg:up_g}"
400,Embodiment of Hate,"Deliver the final blow to recover 40% HP 
at the end of turn","*After delivering a final blow*
- Recovers 40% HP at the end of turn"
401,Justice Awakens,ATK +25% at start of turn,"*Basic effect(s)*
- ATK 25%{passiveImg:up_g}"
402,Galaxy Elite,May stun all enemies,"*Basic effect(s)*
- {passiveImg:once}Stuns all enemies"
403,Real Martial Skill,"ATK +50% when performing a Super 
Attack","*When attacking with 12 or more Ki*
- ATK 50%{passiveImg:up_g}"
404,First Failure,"ATK +10% per PHY Ki Sphere obtained; 
recovers HP with sweet treats","*Basic effect(s)*
- Recovers HP with sweet treats
*For every PHY Ki Sphere obtained*
- ATK 10%{passiveImg:up_g}"
405,Another Failure,"ATK & DEF +3% per Ki Sphere obtained; 
recovers HP with sweet treats","*Basic effect(s)*
- Recovers HP with sweet treats
*For every Ki Sphere obtained*
- ATK & DEF 3%{passiveImg:up_g}"
406,Skill Copy,Recover 12% HP at start of turn,"*Basic effect(s)*
- Recovers 12% HP at the start of turn"
407,Fiendish Heart,Ki +2 when HP is 50% or above,"*When HP is 50% or more*
- Ki +2"
408,Fast and Thick Assault,"All allies' ATK & DEF +30% 
when HP is 80% or more","*When HP is 80% or more*
- All allies' ATK & DEF 30%{passiveImg:up_g}"
409,Planetary Destruction,"All allies' ATK & DEF +50% 
when HP is 80% or more","*When HP is 80% or more*
- All allies' ATK & DEF 50%{passiveImg:up_g}"
410,Give Me Your Energy!,"ATK +15% per STR Ki Sphere obtained; 
recovers HP with sweet treats","*Basic effect(s)*
- Recovers HP with sweet treats
*For every STR Ki Sphere obtained*
- ATK 15%{passiveImg:up_g}"
411,Message to Earth,"ATK +15% per INT Ki Sphere obtained; 
recovers HP with sweet treats","*Basic effect(s)*
- Recovers HP with sweet treats
*For every INT Ki Sphere obtained*
- ATK 15%{passiveImg:up_g}"
412,Proof of Growth,"HP +1500 per TEQ Ki Sphere obtained; 
recovers HP with sweet treats","*Basic effect(s)*
- Recovers HP with sweet treats
*For every TEQ Ki Sphere obtained*
- Recovers 1500 HP"
413,For Family,"ATK +5% per Ki Sphere obtained; 
recovers HP with sweet treats","*Basic effect(s)*
- Recovers HP with sweet treats
*For every Ki Sphere obtained*
- ATK 5%{passiveImg:up_g}"
414,Honest Desire,Ki +1 when HP is 50% or above,"*When HP is 50% or more*
- Ki +1"
417,Unrepentant Battle,"Ki +2 for all allies when HP is 50% or 
above","*When HP is 50% or more*
- All allies' Ki +2"
418,Blossoming Power,"ATK +50% when performing a Super 
Attack","*When attacking with 8 or more Ki*
- ATK 50%{passiveImg:up_g}"
419,Training Vindicated,"Damage received -50% when guard is 
activated","*After guard is activated*
- Damage reduction rate 50%{passiveImg:up_g}"
420,Super Janemba (?),25% chance to dodge enemy attack,
421,Super Janemba (?),50% chance to dodge enemy attack,
422,Supreme Kai's Attendant,Recover 5% HP at start of turn,"*Basic effect(s)*
- Recovers 5% HP at the start of turn"
423,Resolute Strike,"ATK +70% when performing a Super 
Attack","*When attacking with 12 or more Ki*
- ATK 70%{passiveImg:up_g}"
424,Support Strike,"Changes Rainbow Ki Sphere to STR Ki 
Sphere","*Basic effect(s)*
- Changes Ki Spheres: Rainbow to STR"
425,Furious Strike,All allies' ATK +2000 when Ki is 5 or more,"*If the character's Ki is 5 or more when all allies attacking in
the same turn have obtained a Ki Sphere*
- All allies' ATK 2000{passiveImg:up_g}"
426,Superpowers in Balance,TEQ & INT Types Ki +2,"*Basic effect(s)*
- TEQ & INT Type allies' Ki +2"
