id,name,itemized_description
362,Scientific Fusion,"*Basic effect(s)*
- Recovers 15% of damage dealt as HP"
363,Revenge Attack,"*Basic effect(s)*
- All allies' ATK 25%{passiveImg:up_g}"
364,Limit-Pushing Power,"*When HP is 80% or more*
- ATK & DEF 3000{passiveImg:up_g}"
365,Real Possibility,"*When HP is 80% or more*
- Ki +2"
366,Mysterious Weapon,"*After guard is activated*
- Damage reduction rate 50%{passiveImg:up_g}"
367,Backup,"*Basic effect(s)*
- All allies' DEF 1000{passiveImg:up_g}"
368,Despair's Grin,"*Basic effect(s)*
- Changes Ki Spheres: Rainbow to INT
- Weakens Regeneration"
369,Whispered Madness,"*Basic effect(s)*
- Changes Ki Spheres: AGL to Rainbow
- Weakens Regeneration"
370,Awakened Purpose,"*Basic effect(s)*
- ATK 40%{passiveImg:up_g}
- Weakens Regeneration"
371,Promise of Power,"*Basic effect(s)*
- AGL & PHY Type allies' Ki +2
- Weakens Regeneration"
372,The World's Hope,"*Basic effect(s)*
- Rare chance of Ki +5"
373,Inciting Terror,"*Basic effect(s)*
- All enemies' ATK 8%{passiveImg:down_y}"
374,Menacing Despair,"*Basic effect(s)*
- All enemies' ATK 12%{passiveImg:down_y}"
375,Ultimate Battle Form,"*Basic effect(s)*
- ATK & DEF 40%{passiveImg:up_g}"
376,Pitch into Darkness,"*For every Ki Sphere obtained*
- ATK & DEF 7%{passiveImg:up_g}"
377,Avatar of Contempt,"*For every Ki Sphere obtained*
- ATK & DEF 12%{passiveImg:up_g}"
386,What Used to be Kami,"*Basic effect(s)*
- All allies' ATK & DEF 10%{passiveImg:up_g}"
387,Mettle,"*Basic effect(s)*
- Rare chance of stunning all enemies"
388,Full of Confidence,"*For every Ki Sphere obtained*
- ATK 10%{passiveImg:up_g}"
389,Oolong's Approval,"*Basic effect(s)*
- All allies' ATK 2000{passiveImg:up_g}"
390,Billowing Smoke,"*When HP is 50% or more*
- All allies' Ki +2"
391,Obsessed with Power,"*Basic effect(s)*
- Rare chance of DEF 100%{passiveImg:up_g}"
392,Running Rampant,"*Basic effect(s)*
- All allies' ATK 500{passiveImg:up_g}"
393,Full-On Strike,"*Basic effect(s)*
- Changes Ki Spheres: STR to Rainbow"
394,Burning Battle Cry,"*Basic effect(s)*
- Changes Ki Spheres: Rainbow to TEQ"
395,Overwhelming Barrage,"*Basic effect(s)*
- Changes Ki Spheres: Rainbow to PHY"
396,Bubbling Malice,"*When HP is 50% or more*
- Damage reduction rate 80%{passiveImg:up_g}"
400,Embodiment of Hate,"*After delivering a final blow*
- Recovers 40% HP at the end of turn"
401,Justice Awakens,"*Basic effect(s)*
- ATK 25%{passiveImg:up_g}"
402,Galaxy Elite,"*Basic effect(s)*
- {passiveImg:once}Stuns all enemies"
403,Real Martial Skill,"*When attacking with 12 or more Ki*
- ATK 50%{passiveImg:up_g}"
404,First Failure,"*Basic effect(s)*
- Recovers HP with sweet treats
*For every PHY Ki Sphere obtained*
- ATK 10%{passiveImg:up_g}"
405,Another Failure,"*Basic effect(s)*
- Recovers HP with sweet treats
*For every Ki Sphere obtained*
- ATK & DEF 3%{passiveImg:up_g}"
406,Skill Copy,"*Basic effect(s)*
- Recovers 12% HP at the start of turn"
407,Fiendish Heart,"*When HP is 50% or more*
- Ki +2"
408,Fast and Thick Assault,"*When HP is 80% or more*
- All allies' ATK & DEF 30%{passiveImg:up_g}"
409,Planetary Destruction,"*When HP is 80% or more*
- All allies' ATK & DEF 50%{passiveImg:up_g}"
410,Give Me Your Energy!,"*Basic effect(s)*
- Recovers HP with sweet treats
*For every STR Ki Sphere obtained*
- ATK 15%{passiveImg:up_g}"
411,Message to Earth,"*Basic effect(s)*
- Recovers HP with sweet treats
*For every INT Ki Sphere obtained*
- ATK 15%{passiveImg:up_g}"
412,Proof of Growth,"*Basic effect(s)*
- Recovers HP with sweet treats
*For every TEQ Ki Sphere obtained*
- Recovers 1500 HP"
413,For Family,"*Basic effect(s)*
- Recovers HP with sweet treats
*For every Ki Sphere obtained*
- ATK 5%{passiveImg:up_g}"
414,Honest Desire,"*When HP is 50% or more*
- Ki +1"
417,Unrepentant Battle,"*When HP is 50% or more*
- All allies' Ki +2"
418,Blossoming Power,"*When attacking with 8 or more Ki*
- ATK 50%{passiveImg:up_g}"
419,Training Vindicated,"*After guard is activated*
- Damage reduction rate 50%{passiveImg:up_g}"
422,Supreme Kai's Attendant,"*Basic effect(s)*
- Recovers 5% HP at the start of turn"
423,Resolute Strike,"*When attacking with 12 or more Ki*
- ATK 70%{passiveImg:up_g}"
424,Support Strike,"*Basic effect(s)*
- Changes Ki Spheres: Rainbow to STR"
425,Furious Strike,"*If the character's Ki is 5 or more when all allies attacking in
the same turn have obtained a Ki Sphere*
- All allies' ATK 2000{passiveImg:up_g}"
426,Superpowers in Balance,"*Basic effect(s)*
- TEQ & INT Type allies' Ki +2"
427,Strength of Six Saiyans,"*When attacking with 12 or more Ki*
- ATK 75%{passiveImg:up_g}"
428,Hatred of Helplessness,"*When HP is 50% or more*
- All allies' Ki +2"
429,Incomparable Power,"*Basic effect(s)*
- ATK 40%{passiveImg:up_g}"
430,Eminent Perfection,"*Basic effect(s)*
- Changes Ki Spheres: TEQ to Rainbow"
431,A Righteous Heart,"*Basic effect(s)*
- All allies' ATK 1500{passiveImg:up_g}"
432,Contempt for All Saiyans,"*Basic effect(s)*
- All enemies' ATK 8%{passiveImg:down_y}"
435,Curious Power,"*For 5 turn(s) from the character's entry turn*
- ATK 80%{passiveImg:up_g}"
436,A New Awakening,"*When HP is 50% or more*
- ATK 70%{passiveImg:up_g}"
437,Full-Power Battle,"*When HP is 30% or more*
- ATK 80%{passiveImg:up_g}"
438,Battle to the End,"*For 7 turn(s) from the character's entry turn*
- ATK 100%{passiveImg:up_g}"
439,Infinite Possibility,"*Basic effect(s)*
- Changes Ki Spheres: AGL to Rainbow"
440,Limitless Future,"*Basic effect(s)*
- TEQ & INT Type allies' Ki +2"
441,Space Pirate's Pride,"*For every INT Ki Sphere obtained*
- ATK 10%{passiveImg:up_g}"
442,Netherworld Training,"*Basic effect(s)*
- Rare chance of ATK 180%{passiveImg:up_g}"
443,Proven to Be a Genius,"*When attacking with 12 or more Ki*
- ATK 40%{passiveImg:up_g}"
444,Potara's Performance,"*When HP is 50% or more*
- All allies' Ki +2"
445,An Intriguing Dessert,"*When attacking with 12 or more Ki*
- ATK 70%{passiveImg:up_g}"
446,Fusion Father,"*For every Ki Sphere obtained*
- ATK 10%{passiveImg:up_g}"
447,Deadly Pride,"*When attacking with 5 or more Ki*
- ATK 25%{passiveImg:up_g}"
448,Anger Management,"*When HP is 50% or less*
- Ki +7"
449,Conflicted Heart,"*When HP is 80% or less*
- Ki +3 and ATK 2500{passiveImg:up_g}"
450,Namekian Pride,"*Basic effect(s)*
- All allies' DEF 70%{passiveImg:up_g}"
451,Time Rewind,"*When HP is 30% or less*
- {passiveImg:once}Fully recovers HP"
452,Prayers of the World,"*For every Ki Sphere obtained*
- ATK 7%{passiveImg:up_g}"
453,Everyone Has Hopes,"*When HP is 50% or more*
- Ki +2"
454,Grand Adventure,"*When attacking with 8 or more Ki*
- ATK 40%{passiveImg:up_g}"
455,Unforeseen Movement,"*When receiving an attack*
- High chance of damage reduction rate 50%{passiveImg:up_g} within the
turn"
456,Strength Without Limit,"*When attacking with 7 or more Ki*
- ATK 70%{passiveImg:up_g}"
457,Miraculous Power,"*Basic effect(s)*
- Attacks are effective against all Types
- ATK 5000{passiveImg:up_g}"
458,Overwhelming Strike,"*Basic effect(s)*
- Attacks are effective against all Types
- ATK 7000{passiveImg:up_g}"
459,Instant Teleportation,"*Basic effect(s)*
- ATK & DEF 3000{passiveImg:up_g}
- Guards all attacks"
460,Space Domination,"*Basic effect(s)*
- ATK & DEF 5000{passiveImg:up_g}
- Guards all attacks"
461,Perfect Condition,"*When attacking with 12 or more Ki*
- ATK 77%{passiveImg:up_g}"
462,Declaration of Victory,"*When facing only 1 enemy*
- Ki +3 and ATK 2500{passiveImg:up_g}"
463,Knowledge of Firearms,"*Basic effect(s)*
- STR Type allies' Ki +3"
464,Martial Assistance,"*Basic effect(s)*
- All allies' ATK & DEF 15%{passiveImg:up_g}"
465,Strength to Oppose Evil,"*When HP is 50% or less*
- ATK 50%{passiveImg:up_g}"
466,Memory of the Villagers,"*When facing only 1 enemy*
- Ki +2 and ATK 1000{passiveImg:up_g}"
467,Revolting Body,"*Basic effect(s)*
- Medium chance of stunning the attacked enemy"
468,Analysis of Strength,"*When HP is 99% or less*
- ATK 40%{passiveImg:up_g}"
469,Frenetic Pursuit,"*When attacking with 7 or more Ki*
- ATK 4000{passiveImg:up_g}"
470,Amassing More Kiri,"*Basic effect(s)*
- All allies' Ki +2"
471,Unyielding Stubbornness,"*When attacking with 12 or more Ki*
- ATK 70%{passiveImg:up_g}"
472,Altering History,"*Basic effect(s)*
- High chance of stunning the attacked enemy"
473,Sense of Responsibility,"*Basic effect(s)*
- ATK 40%{passiveImg:up_g}"
474,Fiendishly Flavored Food,"*Basic effect(s)*
- Rare chance of stunning all enemies for 2 turn(s)"
475,Historical Wisdom,"*When facing only 1 enemy*
- Ki +2 and ATK 1000{passiveImg:up_g}"
476,Fight Against Despair,"*When facing 2 or more enemies*
- ATK 30%{passiveImg:up_g}"
477,Power from the Past,"*When facing 2 or more enemies*
- ATK 50%{passiveImg:up_g}"
478,Crucial Fate,"*When HP is 80% or less*
- ATK 60%{passiveImg:up_g}"
479,Inherited Power,"*When HP is 50% or more*
- ATK & DEF 20%{passiveImg:up_g}"
480,Grand Offense,"*Basic effect(s)*
- Changes Ki Spheres: TEQ to PHY
- ATK 20%{passiveImg:up_g}"
481,War Dominance,"*Basic effect(s)*
- Changes Ki Spheres: PHY to AGL
- ATK 20%{passiveImg:up_g}"
485,True Power,"*When attacking with 6 or more Ki*
- ATK 40%{passiveImg:up_g}"
486,Tyrant,"*Basic effect(s)*
- High chance of ATK 53%{passiveImg:up_g}"
487,Furious Counterblow,"*Basic effect(s)*
- High chance of ATK 70%{passiveImg:up_g}"
488,Maximum Output,"*When attacking with 12 or more Ki*
- ATK 100%{passiveImg:up_g}"
489,Totality of Rage,"*When attacking with 12 or more Ki*
- ATK 120%{passiveImg:up_g}"
490,Vow to Return,"*If HP is 30% or more when receiving an attack*
- Survives K.O. attacks (up to once within a turn)"
491,Shocking Mutation,"*When attacking*
- ATK 30%{passiveImg:up_g}"
492,Final Will to Fight,"*If HP is 80% or more when receiving an attack*
- Survives K.O. attacks (up to once within a turn)"
493,Stockpiled Strength,"*For 5 turn(s) from the character's entry turn*
- Ki +3"
494,Assured Victory,"*Basic effect(s)*
- Ki +2 and ATK 2500{passiveImg:up_g}"
495,Father's Expectation,"*When HP is 50% or more*
- Ki +4 and ATK 2500{passiveImg:up_g}"
496,Unwavering Strike,"*When HP is 80% or less*
- ATK 77%{passiveImg:up_g}"
497,The Just-Right Fight,"*After guard is activated*
- Damage reduction rate 50%{passiveImg:up_g}"
498,Masterful Tactics,"*Basic effect(s)*
- 25% chance of stunning the attacked enemy"
499,Rising Morale,"*When HP is 80% or less*
- {passiveImg:once}Ki +8"
500,Goku's True Power,"*Basic effect(s)*
- Changes Ki Spheres: TEQ to Rainbow"
501,Maxed-Out Power,"*When attacking with 9 or more Ki*
- Ki +3 and ATK 7000{passiveImg:up_g}"
502,All of the Metal,"*Basic effect(s)*
- DEF 10000{passiveImg:up_g}"
503,Battle's Catalyst,"*For every Ki Sphere obtained*
- ATK 10%{passiveImg:up_g}"
504,Standout Dynamism,"*Basic effect(s)*
- TEQ Type allies' Ki +3"
505,Stubborn Being,"*Basic effect(s)*
- Recovers 25% of damage dealt as HP"
506,Mentor's Dignity,"*When facing only 1 enemy*
- Ki +2 and ATK 1000{passiveImg:up_g}"
507,Broadening Tactics,"*When facing only 1 enemy*
- Ki +2 and ATK 4000{passiveImg:up_g}"
508,Bounding Heart,"*For every Ki Sphere obtained*
- ATK 5%{passiveImg:up_g}"
509,Heart-Pounding Fight,"*For every Ki Sphere obtained*
- ATK 7%{passiveImg:up_g}"
510,Solid Confidence,"*Basic effect(s)*
- DEF 2000{passiveImg:up_g}"
511,Mark of a Man,"*Basic effect(s)*
- ATK 2000{passiveImg:up_g}"
512,Dampened Spirits,"*Basic effect(s)*
- DEF 100%{passiveImg:down_r}"
513,Reckless Results,"*Basic effect(s)*
- ATK 100%{passiveImg:down_r}"
514,Trust of Allies,"*As the 3rd attacker in a turn*
- Ki +4 and ATK 7000{passiveImg:up_g}"
515,Exaltation,"*As the 1st attacker in a turn*
- ATK 77%{passiveImg:up_g}"
516,Further Awakening,"*When attacking with 8 or more Ki*
- Ki +4 and ATK 7000{passiveImg:up_g}"
517,Victor's Fortitude,"*When attacking with 7 or more Ki*
- Ki +5 and ATK 10000{passiveImg:up_g}"
518,Deep Focus,"*When attacking with 6 or more Ki*
- ATK 80%{passiveImg:up_g}"
519,Iron Will,"*When HP is 30% or more*
- ATK 80%{passiveImg:up_g}"
520,Capability Expansion,"*For every STR Ki Sphere obtained*
- ATK 10%{passiveImg:up_g}"
521,Violent Suppression,"*Basic effect(s)*
- All enemies' ATK 10%{passiveImg:down_y}"
522,Martial Spectacle,"*Basic effect(s)*
- High chance of ATK 70%{passiveImg:up_g}"
523,Terrifying Strength,"*Basic effect(s)*
- All enemies' ATK 25%{passiveImg:down_y}"
524,Warrior's Resolve,"*Basic effect(s)*
- ATK 50%{passiveImg:up_g}"
525,Redemption,"*When HP is 40% or less at the start of turn*
- Recovers 25% HP"
526,Easing Tensions,"*When HP is 30% or more*
- ATK 70%{passiveImg:up_g}"
527,Rousing Courage,"*Basic effect(s)*
- STR Type allies' ATK & DEF 25%{passiveImg:up_g}"
528,Ultimate Determination,"*When facing only 1 enemy*
- Ki +3 and ATK 4000{passiveImg:up_g}"
529,A Cut Above,"*Basic effect(s)*
- Medium chance of ATK 100%{passiveImg:up_g}"
530,Assertion of Dominance,"*Basic effect(s)*
- INT Type allies' ATK 20%{passiveImg:up_g}"
531,Cold-Blooded Elite,"*Basic effect(s)*
- INT Type allies' ATK & DEF 25%{passiveImg:up_g}
- {passiveImg:once}Very rare chance of turning into Giant Ape"
532,Cold-Blooded Elite,"*Basic effect(s)*
- INT Type allies' ATK & DEF 25%{passiveImg:up_g}
- {passiveImg:once}Very rare chance of turning into Giant Ape"
533,Hero's Grit,"*Basic effect(s)*
- {passiveImg:once}Rare chance of turning into Giant Ape
*When facing 2 or more enemies*
- ATK 70%{passiveImg:up_g}"
534,Hero's Grit,"*Basic effect(s)*
- {passiveImg:once}Rare chance of turning into Giant Ape
*When facing 2 or more enemies*
- ATK 70%{passiveImg:up_g}"
535,Serious Super Elite,"*Basic effect(s)*
- {passiveImg:once}Rare chance of turning into Giant Ape
*When HP is 80% or less*
- ATK 70%{passiveImg:up_g}"
536,Serious Super Elite,"*Basic effect(s)*
- {passiveImg:once}Rare chance of turning into Giant Ape
*When HP is 80% or less*
- ATK 70%{passiveImg:up_g}"
537,Low-Class and Lethal,"*Basic effect(s)*
- {passiveImg:once}Rare chance of turning into Giant Ape
*For every Ki Sphere obtained*
- ATK 7%{passiveImg:up_g}"
538,Low-Class and Lethal,"*Basic effect(s)*
- {passiveImg:once}Rare chance of turning into Giant Ape
*For every Ki Sphere obtained*
- ATK 7%{passiveImg:up_g}"
539,Hope for the New Age,"*Basic effect(s)*
- TEQ Type allies' ATK & DEF 25%{passiveImg:up_g}"
540,Secret Strategies,"*When HP is 50% or less*
- ATK & DEF 30%{passiveImg:up_g}"
541,Path to Victory,"*When HP is 50% or less*
- ATK & DEF 50%{passiveImg:up_g}"
542,Aura of the Mighty,"*For 5 turn(s) from the character's entry turn*
- Damage reduction rate 60%{passiveImg:up_g}"
543,Aura of the Supreme,"*For 7 turns from the character's entry turn*
- Damage reduction rate 80%{passiveImg:up_g}"
544,Fatal Stance,"*Basic effect(s)*
- ATK 70%{passiveImg:up_g}"
545,Born Fighter,"*When HP is 50% or more*
- ATK 70%{passiveImg:up_g}"
546,Kid Rebel,"*When attacking with 12 or more Ki*
- ATK 70%{passiveImg:up_g}"
547,Love of a Good Wife,"*When HP is 50% or more*
- All allies' Ki +2"
550,Burst of Fury,"*When attacking with 6 or more Ki*
- ATK 40%{passiveImg:up_g}"
551,Stoic Strength,"*When HP is 50% or more*
- All allies' ATK 15%{passiveImg:up_g}"
552,Saiyan Domination,"*Basic effect(s)*
- Changes Ki Spheres: STR to TEQ
- ATK 20%{passiveImg:up_g}"
553,Artful Tactician,"*Basic effect(s)*
- Changes Ki Spheres: AGL to INT
- ATK 20%{passiveImg:up_g}"
554,Quick Win,"*Basic effect(s)*
- Ki +2 and ATK 3000{passiveImg:up_g}"
555,Master of Strategy,"*For every INT Ki Sphere obtained*
- Recovers 2000 HP"
556,Combat Analysis,"*When attacking with 8 or more Ki*
- Damage reduction rate 30%{passiveImg:up_g}"
557,Decisive Strike,"*When attacking with 12 or more Ki*
- ATK 50%{passiveImg:up_g}"
558,Quick Suppression,"*Basic effect(s)*
- ATK & DEF 2500{passiveImg:up_g}"
559,Staggering Vitality,"*For every Ki Sphere obtained*
- Recovers 1000 HP"
560,Tuffle Wrath,"*When HP is 50% or more*
- ATK 70%{passiveImg:up_g}"
561,Seasoned Courage,"*Basic effect(s)*
- All allies' ATK 25%{passiveImg:up_g}"
562,Scholarly Genius,"*When attacking with 6 or more Ki*
- ATK 30%{passiveImg:up_g}"
563,Fighter's Pose,"*Basic effect(s)*
- ATK 2500{passiveImg:up_g}"
564,Tainted Strength,"*Basic effect(s)*
- PHY Type allies' Ki +2"
565,Tainted Super Strength,"*Basic effect(s)*
- PHY Type allies' Ki +3"
566,Steady Aim,"*As the 1st attacker in a turn*
- ATK & DEF 2000{passiveImg:up_g}"
567,Surprise Offensive,"*As the 1st attacker in a turn*
- ATK & DEF 3500{passiveImg:up_g}"
568,A Gift for Invasion,"*When HP is 80% or less*
- Ki +4"
569,Unmatched Anger,"*Basic effect(s)*
- ATK 50%{passiveImg:up_g}
*When HP is 30% or less*
- {passiveImg:once}Rages"
570,Unmatched Anger,"*Basic effect(s)*
- ATK 50%{passiveImg:up_g}
*When HP is 30% or less*
- {passiveImg:once}Rages"
571,Quivering Anger,"*Basic effect(s)*
- ATK 60%{passiveImg:up_g}
*When HP is 30% or less*
- {passiveImg:once}Rages"
572,Rival's Recognition,"*Basic effect(s)*
- High chance of ATK 200%{passiveImg:up_g}"
573,No Restraint,"*Basic effect(s)*
- ATK 40%{passiveImg:up_g}"
574,Adapting to Change,"*When HP is 50% or more*
- ATK & DEF 70%{passiveImg:up_g}"
575,Glimpse of the Sublime,"*When HP is 50% or more*
- ATK 25%{passiveImg:up_g}"
576,Bet to the Future,"*Basic effect(s)*
- All allies' ATK & DEF 15%{passiveImg:up_g}"
577,History's Consolidator,"*When HP is 80% or less*
- Ki +4 and ATK 5000{passiveImg:up_g}"
578,Fearless Onslaught,"*When facing 2 or more enemies*
- ATK 50%{passiveImg:up_g}"
579,Battle Expert,"*Basic effect(s)*
- {passiveImg:once}Chance of turning into Giant Ape
*When HP is 30% or more*
- ATK 70%{passiveImg:up_g}"
580,Battle Expert,"*Basic effect(s)*
- {passiveImg:once}Chance of turning into Giant Ape
*When HP is 30% or more*
- ATK 70%{passiveImg:up_g}"
581,Perfect Move,"*Basic effect(s)*
- Changes Ki Spheres: INT to STR
- {passiveImg:once}Chance of turning into Giant Ape"
582,Perfect Move,"*Basic effect(s)*
- Changes Ki Spheres: INT to STR
- {passiveImg:once}Chance of turning into Giant Ape"
583,Stalwart Physique,"*Basic effect(s)*
- All allies' DEF 5000{passiveImg:up_g}
- {passiveImg:once}Chance of turning into Giant Ape"
584,Stalwart Physique,"*Basic effect(s)*
- All allies' DEF 5000{passiveImg:up_g}
- {passiveImg:once}Chance of turning into Giant Ape"
585,Solemn Inspiration,"*Basic effect(s)*
- {passiveImg:once}Chance of turning into Giant Ape
*For every Ki Sphere obtained*
- ATK 7%{passiveImg:up_g}"
586,Solemn Inspiration,"*Basic effect(s)*
- {passiveImg:once}Chance of turning into Giant Ape
*For every Ki Sphere obtained*
- ATK 7%{passiveImg:up_g}"
587,Friendly Encouragement,"*Basic effect(s)*
- {passiveImg:once}Chance of turning into Giant Ape
*When HP is 80% or less*
- All allies' Ki +3"
588,Friendly Encouragement,"*Basic effect(s)*
- {passiveImg:once}Chance of turning into Giant Ape
*When HP is 80% or less*
- All allies' Ki +3"
589,Beefy Body,"*After guard is activated*
- Damage reduction rate 55%{passiveImg:up_g}"
593,Rapid Offensive,"*Basic effect(s)*
- AGL Type allies' ATK & DEF 30%{passiveImg:up_g}"
594,Attention to the Strongest,"*When HP is 50% or more*
- All allies' Ki +2"
595,Instant Perception,"*When receiving a normal attack*
- Damage reduction rate 70%{passiveImg:up_g} temporarily and counters
with enormous power"
596,Flawless Combat,"*When receiving a normal attack*
- Damage reduction rate 80%{passiveImg:up_g} temporarily and counters
with tremendous power"
597,Demonic Proof,"*When attacking with 10 or more Ki*
- ATK 5000{passiveImg:up_g}
- Launches an additional Super Attack"
598,No Mercy,"*When attacking with 8 or more Ki*
- ATK 7000{passiveImg:up_g}
- Launches an additional Super Attack"
599,Face-Off,"*When facing only 1 enemy*
- ATK 2500{passiveImg:up_g}"
600,The Serious Fight,"*When facing only 1 enemy*
- ATK 5000{passiveImg:up_g}"
601,Crucial Battle,"*When facing only 1 enemy*
- ATK 10000{passiveImg:up_g}
- DEF 3000{passiveImg:up_g}"
602,Grandpa's Teachings,"*As the 1st attacker in a turn*
- All allies' ATK & DEF 3000{passiveImg:up_g}"
603,The Last Senzu,"*Basic effect(s)*
- Ki +2
- Recovers 7% HP at the start of turn"
604,Potara of Hope,"*Basic effect(s)*
- All allies' ATK & DEF 30%{passiveImg:up_g}"
